iter	MultiClass
0	0.9831215428
1	0.8784776531
2	0.7961750149
3	0.7281890266
4	0.6674126814
5	0.615033901
6	0.5719436535
7	0.5303204597
8	0.4954836383
9	0.4639185906
10	0.4337051719
11	0.4076175589
12	0.3826904312
13	0.3625028395
14	0.3437903584
15	0.326507247
16	0.3094466472
17	0.2946139147
18	0.2802369387
19	0.266732018
20	0.2545533959
21	0.2434250118
22	0.2326846304
23	0.2228157808
24	0.2142071564
25	0.2062603061
26	0.1986071875
27	0.1911875953
28	0.1847235426
29	0.178211122
30	0.1718858665
31	0.16672656
32	0.1619563315
33	0.1569387575
34	0.1539042325
35	0.1495014342
36	0.1454180485
37	0.1416709015
38	0.138170755
39	0.1347172423
40	0.1320102213
41	0.1289026242
42	0.1260793705
43	0.1233791602
44	0.1206609963
45	0.118119909
46	0.1160301856
47	0.1141199361
48	0.1121872756
49	0.1099518536
50	0.1088042319
51	0.1064699476
52	0.1046581659
53	0.1029421347
54	0.1014614144
55	0.09992591162
56	0.09837431887
57	0.09670822388
58	0.09533325541
59	0.09404877549
60	0.09277879983
61	0.09121454989
62	0.09006849797
63	0.08861892284
64	0.08728821008
65	0.08615586967
66	0.08512213061
67	0.08380060844
68	0.08267203115
69	0.08192679868
70	0.0808156891
71	0.07980988646
72	0.07861049101
73	0.07718145746
74	0.07632253573
75	0.0754767253
76	0.07476256729
77	0.07404085286
78	0.07337988735
79	0.0723558386
80	0.0715756031
81	0.0706827697
82	0.06999173336
83	0.0693961259
84	0.06856119371
85	0.06761292034
86	0.06683071229
87	0.06612584535
88	0.06562843941
89	0.06495760137
90	0.06427863528
91	0.06360646392
92	0.06306450319
93	0.0625217051
94	0.06182062081
95	0.06091019305
96	0.06038497714
97	0.05962099003
98	0.05920994351
99	0.05873561684
100	0.05831909775
101	0.05787889158
102	0.05750986967
103	0.05692760902
104	0.05642021041
105	0.05601943617
106	0.05533788714
107	0.05474628444
108	0.05422062084
109	0.05376624629
110	0.05327744149
111	0.05302216061
112	0.05270233582
113	0.0523162996
114	0.05189779588
115	0.05153098915
116	0.05113569939
117	0.05077229248
118	0.05032526366
119	0.04989702513
120	0.04962572507
121	0.0492823355
122	0.0488620708
123	0.04844796181
124	0.04795822302
125	0.04751870976
126	0.0472096699
127	0.04668542062
128	0.04615396672
129	0.04577137041
130	0.0454600007
131	0.04520907592
132	0.04476293817
133	0.04448878496
134	0.04424427917
135	0.04395782462
136	0.04367301501
137	0.04324805707
138	0.04292239947
139	0.04276841297
140	0.04240334217
141	0.04199896076
142	0.04176790975
143	0.04132991749
144	0.04101680702
145	0.04081573289
146	0.04057882177
147	0.04034422957
148	0.04011452459
149	0.0396612683
150	0.0394523847
151	0.03923946607
152	0.03895356132
153	0.03870316811
154	0.03832853557
155	0.03809922204
156	0.03797325622
157	0.03782250054
158	0.0374911224
159	0.03740722269
160	0.03709918938
161	0.03682202307
162	0.03666180271
163	0.03638005085
164	0.0361639409
165	0.03593419163
166	0.0357845398
167	0.03566516463
168	0.03540563463
169	0.03514598968
170	0.03491825088
171	0.0348134404
172	0.03454054418
173	0.03428725527
174	0.03420365085
175	0.03401148085
176	0.03378140875
177	0.03356949878
178	0.03339351378
179	0.03322903135
180	0.03304886772
181	0.03290052838
182	0.03259216484
183	0.03240879472
184	0.03224683624
185	0.03203611695
186	0.03186934819
187	0.0317949962
188	0.03170740556
189	0.03148657358
190	0.03135027346
191	0.03112547264
192	0.03099023379
193	0.03079209882
194	0.03061698988
195	0.03048192559
196	0.03033327872
197	0.03019806272
198	0.02997971577
199	0.02977647321
200	0.02963373883
201	0.02948745502
202	0.02933198608
203	0.02919106196
204	0.02906829728
205	0.02894881412
206	0.02886353726
207	0.02874992478
208	0.02861484186
209	0.02846614597
210	0.0283013481
211	0.02813250928
212	0.02798440143
213	0.02784570097
214	0.02771766351
215	0.02754304844
216	0.02734007872
217	0.02717774013
218	0.02695524853
219	0.02688027691
220	0.02676683354
221	0.02666374673
222	0.02648996385
223	0.02638044718
224	0.0262886015
225	0.02615219777
226	0.02597709084
227	0.02584680687
228	0.02572268347
229	0.02562602771
230	0.02556589187
231	0.02548631383
232	0.02536210562
233	0.02525767133
234	0.0251377268
235	0.02504852598
236	0.02498941374
237	0.02483117891
238	0.02470846278
239	0.02458747576
240	0.02448339088
241	0.02438719359
242	0.024278052
243	0.02419860423
244	0.02408875968
245	0.024011027
246	0.02389242147
247	0.02380453331
248	0.02371748196
249	0.02358008432
250	0.02350545678
251	0.02337881484
252	0.0232901235
253	0.02321447098
254	0.0231426218
255	0.02303346674
256	0.02293986739
257	0.02285922024
258	0.02274816993
259	0.02265736581
260	0.02258089821
261	0.02249841566
262	0.02231295645
263	0.02215971162
264	0.02208647021
265	0.02196366339
266	0.02188094088
267	0.02176371502
268	0.02169273802
269	0.02164830678
270	0.02156502659
271	0.02146060954
272	0.02136929362
273	0.02124851909
274	0.02117382979
275	0.02111771542
276	0.020987881
277	0.02088257588
278	0.02079021485
279	0.02069092969
280	0.0205997703
281	0.02055016775
282	0.02050559003
283	0.02042661271
284	0.02034355904
285	0.02026864305
286	0.02017600006
287	0.02005916769
288	0.01997279124
289	0.01991622663
290	0.01984209301
291	0.01978441491
292	0.01973126215
293	0.01963718115
294	0.01956770052
295	0.01949751248
296	0.0194417025
297	0.01934054453
298	0.01926025875
299	0.01917068809
300	0.0190889967
301	0.01903505056
302	0.0189631986
303	0.01889909015
304	0.01881802282
305	0.01871845409
306	0.01865161247
307	0.01858099966
308	0.01852627924
309	0.01848306755
310	0.01838496939
311	0.01832959183
312	0.01827076998
313	0.01820438364
314	0.01816746356
315	0.01810926443
316	0.01805214127
317	0.01795191951
318	0.01787976403
319	0.01785199062
320	0.01776328001
321	0.01771132858
322	0.01763734057
323	0.0175862497
324	0.0175385485
325	0.01748278415
326	0.0174232509
327	0.01739383839
328	0.01731968796
329	0.01726083705
330	0.01718463346
331	0.01708184494
332	0.01704178354
333	0.01699840081
334	0.0169382308
335	0.01688270126
336	0.01682715142
337	0.0167818893
338	0.01675824574
339	0.01670188893
340	0.01663131155
341	0.01655125711
342	0.0164995934
343	0.0164533415
344	0.0163752135
345	0.01632368119
346	0.01627712478
347	0.01622965612
348	0.01617922183
349	0.01612145709
350	0.01607508383
351	0.01603333582
352	0.01594404715
353	0.01587425982
354	0.01581462522
355	0.01578318364
356	0.01575534833
357	0.01570299124
358	0.01563128127
359	0.01559963007
360	0.01555589141
361	0.01549183012
362	0.01544850884
363	0.01540044404
364	0.01535575489
365	0.01528092765
366	0.01523869821
367	0.01520653122
368	0.01518487579
369	0.01510279577
370	0.01508046167
371	0.01500143561
372	0.01498598155
373	0.0149566507
374	0.01491608263
375	0.01487353637
376	0.01481956179
377	0.01475852614
378	0.01471826152
379	0.01470175268
380	0.01465034485
381	0.01461132967
382	0.01456663299
383	0.01454227338
384	0.01451397164
385	0.01447096445
386	0.01441429709
387	0.01438520194
388	0.01432835195
389	0.01428776646
390	0.01425401154
391	0.01420466465
392	0.01415708047
393	0.01410172764
394	0.0140701017
395	0.0140039366
396	0.01396188118
397	0.01390720729
398	0.01385624655
399	0.01381793821
400	0.01375624294
401	0.01369705721
402	0.01365984663
403	0.01361304117
404	0.01355137789
405	0.01352452967
406	0.013506888
407	0.01345486751
408	0.01341504429
409	0.01338640679
410	0.01334598085
411	0.01329899969
412	0.01326093432
413	0.0132163127
414	0.01319533806
415	0.0131580192
416	0.0131468212
417	0.01311074416
418	0.01307581907
419	0.01302660948
420	0.01299743812
421	0.01296885349
422	0.01293309783
423	0.01288446731
424	0.0128437518
425	0.01280452667
426	0.01277091572
427	0.01273824893
428	0.01271163328
429	0.01267368108
430	0.01265786012
431	0.01263481006
432	0.01259314739
433	0.01256818575
434	0.012534552
435	0.01249381908
436	0.01244038263
437	0.012395731
438	0.01238197659
439	0.01234473894
440	0.01232242043
441	0.01229287753
442	0.01225372161
443	0.01220272043
444	0.01216717803
445	0.0121286123
446	0.01210695423
447	0.01208790599
448	0.01206020345
449	0.01202570701
450	0.01199779194
451	0.01196358603
452	0.01191397532
453	0.01189038821
454	0.01187600215
455	0.01184891633
456	0.01182945382
457	0.01178538133
458	0.01175431487
459	0.01171649225
460	0.01169458608
461	0.0116519207
462	0.01162677428
463	0.01157230858
464	0.01154643631
465	0.01149805708
466	0.01146771815
467	0.01145248878
468	0.01141523694
469	0.01140405191
470	0.01136275407
471	0.01134066975
472	0.01130716352
